SERIAL_NO,DEVICE_ID,PRODUCT_FAMILY,MODEL_NAME,PART_NUMBER,DEVICE_CAPACITY,COLOR,PURCHASE_SOURCE,ORDER_NUMBER,DATE_ADDED_TO_ORGANIZATION,DATE_REMOVED_FROM_ORGANIZATION,MDM_SERVER,DATE_ASSIGNED_TO_MDM_SERVER
C02D92H4ML7L,C02D92H4ML7L,Mac,"MacBook Pro 13""",MWP72LL/A,512GB,SILVER,Apple (1339106),1011749318,2021-12-16T09:57:32Z,,Addigy,2024-02-29T12:09:39Z
C02DN3B3MD6R,C02DN3B3MD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,512GB,SPACE GRAY,Apple (1339106),1011880954,2021-12-16T09:57:39Z,,Addigy,2024-02-29T12:09:39Z
C02DR0PTQ6LW,C02DR0PTQ6LW,Mac,MacBook Air,Z127,256GB,SILVER,Apple (1339106),1012046816,2021-12-16T09:57:35Z,,Addigy,2024-02-29T12:09:39Z
C02DR0PWQ6LW,C02DR0PWQ6LW,Mac,MacBook Air,Z127,256GB,SILVER,Apple (1339106),1012046816,2021-12-16T09:57:34Z,,Addigy,2024-02-29T12:09:39Z
C02F50CVMD6R,C02F50CVMD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,512GB,SPACE GRAY,Apple (1339106),1012487760,2021-12-16T09:57:40Z,,Addigy,2024-02-29T12:09:39Z
C07DF09PPJJ7,C07DF09PPJJ7,Mac,Mac mini,Z0ZR,256GB,SPACE GRAY,Apple (1339106),1011641014,2021-12-16T09:57:41Z,,Addigy,2024-02-29T12:09:39Z
FVFCQ4WCM6KG,FVFCQ4WCM6KG,Mac,MacBook Air,MVH22LL/A,512GB,SPACE GRAY,Manually Added|Apple Configurator,CE-2023-11-16-11-20-39-396,2023-11-16T13:20:39Z,,Addigy,2024-02-29T12:09:39Z
FVFDD5RUMNHX,FVFDD5RUMNHX,Mac,MacBook Air,Z0YJ,256GB,SPACE GRAY,Apple (1339106),1011570796,2021-12-16T09:57:41Z,,Addigy,2024-02-29T12:09:39Z
FVFFV1DEQ6LW,FVFFV1DEQ6LW,Mac,MacBook Air,Z127,256GB,SILVER,Apple (1339106),1014643288,2021-12-16T09:57:38Z,,Addigy,2024-02-29T12:09:39Z
FVFFV1DXQ6LW,FVFFV1DXQ6LW,Mac,MacBook Air,Z127,256GB,SILVER,Apple (1339106),1014643288,2021-12-16T09:57:35Z,,Addigy,2024-02-29T12:09:39Z
FVFFV2JMQ6LR,FVFFV2JMQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014643288,2021-12-16T09:57:36Z,,Addigy,2024-02-29T12:09:39Z
FVFFV2XRQ6LR,FVFFV2XRQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014643288,2021-12-16T09:57:40Z,,Addigy,2024-02-29T12:09:39Z
FVFFV2ZBQ6LR,FVFFV2ZBQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014643288,2021-12-16T09:57:33Z,,Addigy,2024-02-29T12:09:39Z
FVFG14PNQ6LR,FVFG14PNQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014776641,2021-12-16T09:57:38Z,,Addigy,2024-02-29T12:09:39Z
FVFG159FQ6LR,FVFG159FQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014776641,2021-12-16T09:57:34Z,,Addigy,2024-02-29T12:09:39Z
FVFG15FNQ6LR,FVFG15FNQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014776641,2021-12-16T09:57:39Z,,Addigy,2024-02-29T12:09:39Z
